dataset,band,row_index,subject,condition,y,model,score
Chennu,alpha,0,10,baseline,0,spectral_bandpower,0.22190115664223858
Chennu,alpha,1,10,moderate,1,spectral_bandpower,0.23120624384529465
Chennu,alpha,2,13,baseline,0,spectral_bandpower,0.23495096843881896
Chennu,alpha,3,13,moderate,1,spectral_bandpower,0.548446820009846
Chennu,alpha,4,14,baseline,0,spectral_bandpower,0.22118211038111515
Chennu,alpha,5,14,moderate,1,spectral_bandpower,0.2803543754206794
Chennu,alpha,6,18,baseline,0,spectral_bandpower,0.24011028945040871
Chennu,alpha,7,18,moderate,1,spectral_bandpower,0.9967378959333445
Chennu,alpha,8,2,baseline,0,spectral_bandpower,0.24227533059833414
Chennu,alpha,9,2,moderate,1,spectral_bandpower,0.9800935597876204
Chennu,alpha,10,20,baseline,0,spectral_bandpower,0.22979004492859065
Chennu,alpha,11,20,moderate,1,spectral_bandpower,0.9998488347501895
Chennu,alpha,12,22,baseline,0,spectral_bandpower,0.23644166081973786
Chennu,alpha,13,22,moderate,1,spectral_bandpower,0.5740607395207712
Chennu,alpha,14,23,baseline,0,spectral_bandpower,0.2411396114430217
Chennu,alpha,15,23,moderate,1,spectral_bandpower,0.9873922082628493
Chennu,alpha,16,24,baseline,0,spectral_bandpower,0.2393084345919819
Chennu,alpha,17,24,moderate,1,spectral_bandpower,0.669113200924961
Chennu,alpha,18,25,baseline,0,spectral_bandpower,0.23793730786343406
Chennu,alpha,19,25,moderate,1,spectral_bandpower,0.9951128436048274
Chennu,alpha,20,26,baseline,0,spectral_bandpower,0.2340377541212408
Chennu,alpha,21,26,moderate,1,spectral_bandpower,0.5330020665142033
Chennu,alpha,22,27,baseline,0,spectral_bandpower,0.2046138794699449
Chennu,alpha,23,27,moderate,1,spectral_bandpower,0.013456606569143558
Chennu,alpha,24,28,baseline,0,spectral_bandpower,0.230691678833905
Chennu,alpha,25,28,moderate,1,spectral_bandpower,0.43960492806654583
Chennu,alpha,26,29,baseline,0,spectral_bandpower,0.24435191537164566
Chennu,alpha,27,29,moderate,1,spectral_bandpower,0.8862864174385502
Chennu,alpha,28,3,baseline,0,spectral_bandpower,0.24101081967105217
Chennu,alpha,29,3,moderate,1,spectral_bandpower,0.7889515872344176
Chennu,alpha,30,5,baseline,0,spectral_bandpower,0.24360777236607187
Chennu,alpha,31,5,moderate,1,spectral_bandpower,0.9885122457484167
Chennu,alpha,32,6,baseline,0,spectral_bandpower,0.24008219878408893
Chennu,alpha,33,6,moderate,1,spectral_bandpower,0.686126206832886
Chennu,alpha,34,7,baseline,0,spectral_bandpower,0.24281052462721317
Chennu,alpha,35,7,moderate,1,spectral_bandpower,0.9896690367599276
Chennu,alpha,36,8,baseline,0,spectral_bandpower,0.23552033190178956
Chennu,alpha,37,8,moderate,1,spectral_bandpower,0.5544771393327353
Chennu,alpha,38,9,baseline,0,spectral_bandpower,0.2309400641544505
Chennu,alpha,39,9,moderate,1,spectral_bandpower,0.9999260672138219
Chennu,alpha,0,10,baseline,0,spectral_all,0.20037585282301684
Chennu,alpha,1,10,moderate,1,spectral_all,0.2919326191455358
Chennu,alpha,2,13,baseline,0,spectral_all,0.2121619165223644
Chennu,alpha,3,13,moderate,1,spectral_all,0.6552550412372871
Chennu,alpha,4,14,baseline,0,spectral_all,0.19643694430306533
Chennu,alpha,5,14,moderate,1,spectral_all,0.2935116715164595
Chennu,alpha,6,18,baseline,0,spectral_all,0.21322477350341662
Chennu,alpha,7,18,moderate,1,spectral_all,0.9991247229428931
Chennu,alpha,8,2,baseline,0,spectral_all,0.2153280814424616
Chennu,alpha,9,2,moderate,1,spectral_all,0.9884535466665249
Chennu,alpha,10,20,baseline,0,spectral_all,0.20395991732375676
Chennu,alpha,11,20,moderate,1,spectral_all,0.9999880275546189
Chennu,alpha,12,22,baseline,0,spectral_all,0.212143623781686
Chennu,alpha,13,22,moderate,1,spectral_all,0.6452101509238682
Chennu,alpha,14,23,baseline,0,spectral_all,0.21198859694650402
Chennu,alpha,15,23,moderate,1,spectral_all,0.9985338520049435
Chennu,alpha,16,24,baseline,0,spectral_all,0.20234284946251332
Chennu,alpha,17,24,moderate,1,spectral_all,0.23118768713471827
Chennu,alpha,18,25,baseline,0,spectral_all,0.20565303778271898
Chennu,alpha,19,25,moderate,1,spectral_all,0.9984995206660263
Chennu,alpha,20,26,baseline,0,spectral_all,0.21142250651168026
Chennu,alpha,21,26,moderate,1,spectral_all,0.6419936972784283
Chennu,alpha,22,27,baseline,0,spectral_all,0.17811086238338256
Chennu,alpha,23,27,moderate,1,spectral_all,0.010777966892608144
Chennu,alpha,24,28,baseline,0,spectral_all,0.2096044707618053
Chennu,alpha,25,28,moderate,1,spectral_all,0.5747541641018237
Chennu,alpha,26,29,baseline,0,spectral_all,0.2178242495723783
Chennu,alpha,27,29,moderate,1,spectral_all,0.9360486954942906
Chennu,alpha,28,3,baseline,0,spectral_all,0.20509946481381838
Chennu,alpha,29,3,moderate,1,spectral_all,0.4292115434337942
Chennu,alpha,30,5,baseline,0,spectral_all,0.21673264528410516
Chennu,alpha,31,5,moderate,1,spectral_all,0.9914071230553542
Chennu,alpha,32,6,baseline,0,spectral_all,0.21645827701811546
Chennu,alpha,33,6,moderate,1,spectral_all,0.8371457227195679
Chennu,alpha,34,7,baseline,0,spectral_all,0.2151832226370481
Chennu,alpha,35,7,moderate,1,spectral_all,0.9974179426681692
