dataset,band,subject,condition,R_mean,D_mean,M_mean,Pi,Access_all,n_channels,duration_s,n_windows
Chennu,alpha,10,baseline,0.1044615908371439,9.691537438143868,0.002479464152131845,0.8275862068965517,0.5862068965517241,91.0,90.0,58.0
Chennu,alpha,10,mild,0.08653181267713453,8.017132953680335,0.002277862999525333,0.6264367816091954,0.27586206896551724,91.0,90.0,58.0
Chennu,alpha,10,moderate,0.07903807732326795,7.746488161739887,0.0017409809129294881,0.3908045977011494,0.1724137931034483,91.0,90.0,58.0
Chennu,alpha,10,recovery,0.11216387933577648,7.938389741201371,0.002522562898503346,0.6321839080459768,0.2413793103448276,91.0,90.0,58.0
Chennu,alpha,13,baseline,0.17661014549313658,5.924983715262875,0.004159985258216292,0.8275862068965518,0.6379310344827587,91.0,90.0,58.0
Chennu,alpha,13,mild,0.16023861133115885,5.678671067313513,0.003906451446969514,0.7298850574712643,0.3793103448275862,91.0,90.0,58.0
Chennu,alpha,13,moderate,0.13704746618153352,5.832143980627289,0.003943196216421462,0.6091954022988505,0.1206896551724138,91.0,90.0,58.0
Chennu,alpha,13,recovery,0.14325497451983898,5.782596387513397,0.004039815262065142,0.6839080459770115,0.25862068965517243,91.0,90.0,58.0
Chennu,alpha,14,baseline,0.1254604646708898,8.75486484242498,0.004350528690499395,0.8275862068965517,0.6206896551724138,91.0,90.0,58.0
Chennu,alpha,14,mild,0.1343471135197186,8.510308144621915,0.004423259374505474,0.9195402298850573,0.7758620689655172,91.0,90.0,58.0
Chennu,alpha,14,moderate,0.0954543660519323,9.528709607131555,0.0023876969489653502,0.614942528735632,0.3103448275862069,91.0,90.0,58.0
Chennu,alpha,14,recovery,0.1387983926587859,9.031660931150467,0.003988989622989121,0.9080459770114943,0.7413793103448276,91.0,90.0,58.0
Chennu,alpha,18,baseline,0.2013353611552204,5.393607178734431,0.003803826012309487,0.8275862068965517,0.603448275862069,91.0,90.0,58.0
Chennu,alpha,18,mild,0.2067228800559822,4.692061260753995,0.0027584365840434555,0.6436781609195402,0.29310344827586204,91.0,90.0,58.0
Chennu,alpha,18,moderate,0.17880426442255506,5.8398909443073554,0.003188299986144428,0.5919540229885057,0.2413793103448276,91.0,90.0,58.0
Chennu,alpha,18,recovery,0.1879856235503654,5.5355705758895315,0.0033533727663979875,0.7011494252873564,0.27586206896551724,91.0,90.0,58.0
Chennu,alpha,2,baseline,0.1704515826559688,6.596477420460028,0.005603209888015726,0.8275862068965516,0.5862068965517241,91.0,90.0,58.0
Chennu,alpha,2,mild,0.17511239200406428,6.666905979312388,0.005011957026851249,0.8735632183908044,0.6379310344827587,91.0,90.0,58.0
Chennu,alpha,2,moderate,0.16221745108515917,6.997589244366676,0.005422339013216021,0.8448275862068965,0.5862068965517241,91.0,90.0,58.0
Chennu,alpha,2,recovery,0.1700439964649892,6.138643109355228,0.004908405340120953,0.7816091954022988,0.46551724137931033,91.0,90.0,58.0
Chennu,alpha,20,baseline,0.10765501664741264,10.213455857140572,0.0026351051663644183,0.8275862068965517,0.6379310344827587,91.0,90.0,58.0
Chennu,alpha,20,mild,0.12692856089711732,7.616644599790323,0.0026145896947318216,0.7126436781609194,0.25862068965517243,91.0,90.0,58.0
Chennu,alpha,20,moderate,0.12124593428279677,7.391841853234258,0.002329398311478368,0.7241379310344828,0.29310344827586204,91.0,90.0,58.0
Chennu,alpha,20,recovery,0.1269049420393016,7.031173400643701,0.0024226686348591073,0.7068965517241377,0.2413793103448276,91.0,90.0,58.0
Chennu,alpha,22,baseline,0.16662417673137608,8.073292680303094,0.004466542672696317,0.8275862068965517,0.6206896551724138,91.0,90.0,58.0
Chennu,alpha,22,mild,0.15472811490175536,9.292326244649002,0.00399370985191679,0.6724137931034483,0.3620689655172414,91.0,90.0,58.0
