dataset,band,subject,condition,R_mean,D_mean,M_mean,Pi,Access_all,n_channels,duration_s,n_windows
Chennu,alpha,10,baseline,0.3125913533481924,14.504069426299996,0.0202432600939927,0.8275862068965517,0.5862068965517241,20.0,90.0,58.0
Chennu,alpha,10,mild,0.3170040938265628,11.80447744792374,0.022723260683914857,0.5804597701149427,0.1724137931034483,20.0,90.0,58.0
Chennu,alpha,10,moderate,0.3202579172584473,11.223115641952493,0.024186449628957378,0.6264367816091954,0.1896551724137931,20.0,90.0,58.0
Chennu,alpha,10,recovery,0.3386599377300044,11.66808970587021,0.019633949769798095,0.6954022988505746,0.3620689655172414,20.0,90.0,58.0
Chennu,alpha,13,baseline,0.44428299690622164,8.757457298588836,0.026587569763696892,0.8275862068965517,0.6379310344827587,20.0,90.0,58.0
Chennu,alpha,13,mild,0.4282560151007824,8.23641686930727,0.026237401060549333,0.7873563218390804,0.46551724137931033,20.0,90.0,58.0
Chennu,alpha,13,moderate,0.408220837045065,8.445541363567443,0.022912057427481917,0.6494252873563218,0.22413793103448276,20.0,90.0,58.0
Chennu,alpha,13,recovery,0.40715819927683133,9.006984087056436,0.026094859920721063,0.735632183908046,0.43103448275862066,20.0,90.0,58.0
Chennu,alpha,14,baseline,0.34671440958845834,11.466217192468799,0.022103857663652367,0.8275862068965517,0.5517241379310345,20.0,90.0,58.0
Chennu,alpha,14,mild,0.3632117875567331,12.125215900675498,0.022422807129612022,0.9310344827586207,0.7931034482758621,20.0,90.0,58.0
Chennu,alpha,14,moderate,0.36635374479060584,11.370615733848878,0.020500562979632306,0.9310344827586207,0.8275862068965517,20.0,90.0,58.0
Chennu,alpha,14,recovery,0.34726279919615527,12.393634562104566,0.021374897685574976,0.925287356321839,0.8103448275862069,20.0,90.0,58.0
Chennu,alpha,18,baseline,0.5239770022504421,7.44254521370224,0.02889838750587311,0.8275862068965517,0.6379310344827587,20.0,90.0,58.0
Chennu,alpha,18,mild,0.5899283003020221,6.247488057996549,0.02201210907313338,0.7528735632183907,0.4482758620689655,20.0,90.0,58.0
Chennu,alpha,18,moderate,0.5117689130395501,8.007693988129644,0.025736623591805584,0.7183908045977012,0.4482758620689655,20.0,90.0,58.0
Chennu,alpha,18,recovery,0.5370828354038091,7.676636362547472,0.02859293837735721,0.8390804597701149,0.6551724137931034,20.0,90.0,58.0
Chennu,alpha,2,baseline,0.4469683039661398,9.986080297152775,0.03219906518296463,0.8275862068965517,0.5689655172413793,20.0,90.0,58.0
Chennu,alpha,2,mild,0.44122297066340227,10.099341288158927,0.029904908637828347,0.7643678160919539,0.5172413793103449,20.0,90.0,58.0
Chennu,alpha,2,moderate,0.4454255905499483,10.645002315426186,0.031040260010569403,0.8045977011494252,0.5517241379310345,20.0,90.0,58.0
Chennu,alpha,2,recovery,0.46012835398186913,8.623967408605445,0.026633285724705053,0.6781609195402298,0.3448275862068966,20.0,90.0,58.0
Chennu,alpha,20,baseline,0.3624992701212597,14.158612592818708,0.026573356956421997,0.8275862068965517,0.6724137931034483,20.0,90.0,58.0
Chennu,alpha,20,mild,0.3646573612170502,11.782346164694449,0.02536824399339487,0.8103448275862069,0.5344827586206896,20.0,90.0,58.0
Chennu,alpha,20,moderate,0.4132089897594207,10.80874013150838,0.02560431923559403,0.7471264367816091,0.39655172413793105,20.0,90.0,58.0
Chennu,alpha,20,recovery,0.40043957905097255,11.168757800855746,0.025822267779195433,0.7413793103448276,0.3620689655172414,20.0,90.0,58.0
