dataset,band,row_index,subject,condition,y,model,score
Chennu,alpha,0,10,baseline,0,spectral_bandpower,0.15626523760180974
Chennu,alpha,1,10,moderate,1,spectral_bandpower,0.16902258542336435
Chennu,alpha,2,13,baseline,0,spectral_bandpower,0.16428254799669165
Chennu,alpha,3,13,moderate,1,spectral_bandpower,0.3797835606480136
Chennu,alpha,4,14,baseline,0,spectral_bandpower,0.17473502935931665
Chennu,alpha,5,14,moderate,1,spectral_bandpower,0.6334425020776446
Chennu,alpha,6,18,baseline,0,spectral_bandpower,0.18005485459145837
Chennu,alpha,7,18,moderate,1,spectral_bandpower,0.9867203029660839
Chennu,alpha,8,2,baseline,0,spectral_bandpower,0.17982675728103192
Chennu,alpha,9,2,moderate,1,spectral_bandpower,0.9884252985424105
Chennu,alpha,10,20,baseline,0,spectral_bandpower,0.17198969508358855
Chennu,alpha,11,20,moderate,1,spectral_bandpower,0.9995820210027959
Chennu,alpha,12,22,baseline,0,spectral_bandpower,0.17916130897524923
Chennu,alpha,13,22,moderate,1,spectral_bandpower,0.7831137108488931
Chennu,alpha,14,23,baseline,0,spectral_bandpower,0.17681033487050368
Chennu,alpha,15,23,moderate,1,spectral_bandpower,0.9977223787619961
Chennu,alpha,16,24,baseline,0,spectral_bandpower,0.17493022341249362
Chennu,alpha,17,24,moderate,1,spectral_bandpower,0.5452171452234458
Chennu,alpha,18,25,baseline,0,spectral_bandpower,0.1807994840374608
Chennu,alpha,19,25,moderate,1,spectral_bandpower,0.9435766429771932
Chennu,alpha,20,26,baseline,0,spectral_bandpower,0.1729316623465833
Chennu,alpha,21,26,moderate,1,spectral_bandpower,0.5908555602966307
Chennu,alpha,22,27,baseline,0,spectral_bandpower,0.16442100252310138
Chennu,alpha,23,27,moderate,1,spectral_bandpower,0.12302571762474933
Chennu,alpha,24,28,baseline,0,spectral_bandpower,0.16797834163952594
Chennu,alpha,25,28,moderate,1,spectral_bandpower,0.44004620568053066
Chennu,alpha,26,29,baseline,0,spectral_bandpower,0.1811840622020659
Chennu,alpha,27,29,moderate,1,spectral_bandpower,0.9223480226426884
Chennu,alpha,28,3,baseline,0,spectral_bandpower,0.18122696704708322
Chennu,alpha,29,3,moderate,1,spectral_bandpower,0.9611547286597514
Chennu,alpha,30,5,baseline,0,spectral_bandpower,0.17912939640766556
Chennu,alpha,31,5,moderate,1,spectral_bandpower,0.9948423445394958
Chennu,alpha,32,6,baseline,0,spectral_bandpower,0.17962659991700272
Chennu,alpha,33,6,moderate,1,spectral_bandpower,0.9937824050434173
Chennu,alpha,34,7,baseline,0,spectral_bandpower,0.17371605998581593
Chennu,alpha,35,7,moderate,1,spectral_bandpower,0.9998714814372552
Chennu,alpha,36,8,baseline,0,spectral_bandpower,0.18108383317202364
Chennu,alpha,37,8,moderate,1,spectral_bandpower,0.9733695391996351
Chennu,alpha,38,9,baseline,0,spectral_bandpower,0.1696797640110669
Chennu,alpha,39,9,moderate,1,spectral_bandpower,0.9999502243978321
Chennu,alpha,0,10,baseline,0,spectral_all,0.1450976470067913
Chennu,alpha,1,10,moderate,1,spectral_all,0.18259123685269948
Chennu,alpha,2,13,baseline,0,spectral_all,0.15103531848116988
Chennu,alpha,3,13,moderate,1,spectral_all,0.39243499139468063
Chennu,alpha,4,14,baseline,0,spectral_all,0.15814248996417907
Chennu,alpha,5,14,moderate,1,spectral_all,0.5972127787032165
Chennu,alpha,6,18,baseline,0,spectral_all,0.16379797839077304
Chennu,alpha,7,18,moderate,1,spectral_all,0.9968000109876952
Chennu,alpha,8,2,baseline,0,spectral_all,0.16384332886330394
Chennu,alpha,9,2,moderate,1,spectral_all,0.9955851565535351
Chennu,alpha,10,20,baseline,0,spectral_all,0.1559281843164028
Chennu,alpha,11,20,moderate,1,spectral_all,0.9999618086339312
Chennu,alpha,12,22,baseline,0,spectral_all,0.16356485695886633
Chennu,alpha,13,22,moderate,1,spectral_all,0.7926030658308377
Chennu,alpha,14,23,baseline,0,spectral_all,0.159504448977469
Chennu,alpha,15,23,moderate,1,spectral_all,0.9998212139112999
Chennu,alpha,16,24,baseline,0,spectral_all,0.1574205643955823
Chennu,alpha,17,24,moderate,1,spectral_all,0.3615743927108608
Chennu,alpha,18,25,baseline,0,spectral_all,0.16373143881649316
Chennu,alpha,19,25,moderate,1,spectral_all,0.9687054313181003
Chennu,alpha,20,26,baseline,0,spectral_all,0.15919258981248602
Chennu,alpha,21,26,moderate,1,spectral_all,0.6402724965359342
Chennu,alpha,22,27,baseline,0,spectral_all,0.15239775847840514
Chennu,alpha,23,27,moderate,1,spectral_all,0.147172016947755
Chennu,alpha,24,28,baseline,0,spectral_all,0.15167250558171538
Chennu,alpha,25,28,moderate,1,spectral_all,0.4261438933527671
Chennu,alpha,26,29,baseline,0,spectral_all,0.16562487690505284
Chennu,alpha,27,29,moderate,1,spectral_all,0.9564936327226364
Chennu,alpha,28,3,baseline,0,spectral_all,0.16319103896488305
Chennu,alpha,29,3,moderate,1,spectral_all,0.8575283468887164
Chennu,alpha,30,5,baseline,0,spectral_all,0.16354212726094797
Chennu,alpha,31,5,moderate,1,spectral_all,0.9965291857824864
Chennu,alpha,32,6,baseline,0,spectral_all,0.16370066920154633
Chennu,alpha,33,6,moderate,1,spectral_all,0.9973983163092192
Chennu,alpha,34,7,baseline,0,spectral_all,0.15861578302144563
Chennu,alpha,35,7,moderate,1,spectral_all,0.9998894077854242
Chennu,alpha,36,8,baseline,0,spectral_all,0.1647398242578427
Chennu,alpha,37,8,moderate,1,spectral_all,0.9599678373588937
Chennu,alpha,38,9,baseline,0,spectral_all,0.14942538302706135
Chennu,alpha,39,9,moderate,1,spectral_all,0.9999996349422344
Chennu,alpha,0,10,baseline,0,gcc_pi,0.33692953770237455
Chennu,alpha,1,10,moderate,1,gcc_pi,0.7916745668437934
Chennu,alpha,2,13,baseline,0,gcc_pi,0.3095428095343049
Chennu,alpha,3,13,moderate,1,gcc_pi,0.2321867537944417
Chennu,alpha,4,14,baseline,0,gcc_pi,0.3095428095343049
Chennu,alpha,5,14,moderate,1,gcc_pi,0.23218675379444212
Chennu,alpha,6,18,baseline,0,gcc_pi,0.33509350094310847
Chennu,alpha,7,18,moderate,1,gcc_pi,0.7245256390983625
Chennu,alpha,8,2,baseline,0,gcc_pi,0.3229451916211497
Chennu,alpha,9,2,moderate,1,gcc_pi,0.4372802395073546
Chennu,alpha,10,20,baseline,0,gcc_pi,0.3385863793868306
Chennu,alpha,11,20,moderate,1,gcc_pi,0.9471151339068177
Chennu,alpha,12,22,baseline,0,gcc_pi,0.33342809028722703
Chennu,alpha,13,22,moderate,1,gcc_pi,0.6736183980527817
Chennu,alpha,14,23,baseline,0,gcc_pi,0.3387700935036576
Chennu,alpha,15,23,moderate,1,gcc_pi,0.9132653973190556
Chennu,alpha,16,24,baseline,0,gcc_pi,0.3386787918760232
Chennu,alpha,17,24,moderate,1,gcc_pi,0.9399818929387134
Chennu,alpha,18,25,baseline,0,gcc_pi,0.33775832049348425
Chennu,alpha,19,25,moderate,1,gcc_pi,0.8298231635994058
Chennu,alpha,20,26,baseline,0,gcc_pi,0.30325655459401823
Chennu,alpha,21,26,moderate,1,gcc_pi,0.16063958654497548
Chennu,alpha,22,27,baseline,0,gcc_pi,0.3353663736962032
Chennu,alpha,23,27,moderate,1,gcc_pi,0.992350997802436
Chennu,alpha,24,28,baseline,0,gcc_pi,0.3095428095343049
Chennu,alpha,25,28,moderate,1,gcc_pi,0.23218675379444165
Chennu,alpha,26,29,baseline,0,gcc_pi,0.31562300007223315
Chennu,alpha,27,29,moderate,1,gcc_pi,0.31562300007223365
Chennu,alpha,28,3,baseline,0,gcc_pi,0.335683008379403
Chennu,alpha,29,3,moderate,1,gcc_pi,0.9911320732279729
Chennu,alpha,30,5,baseline,0,gcc_pi,0.338726583827417
Chennu,alpha,31,5,moderate,1,gcc_pi,0.902348182670161
Chennu,alpha,32,6,baseline,0,gcc_pi,0.33709216324415137
Chennu,alpha,33,6,moderate,1,gcc_pi,0.9818498910926157
Chennu,alpha,34,7,baseline,0,gcc_pi,0.32122402986548615
Chennu,alpha,35,7,moderate,1,gcc_pi,0.406316905323771
Chennu,alpha,36,8,baseline,0,gcc_pi,0.336400960286903
Chennu,alpha,37,8,moderate,1,gcc_pi,0.770590159249908
Chennu,alpha,38,9,baseline,0,gcc_pi,0.336400960286903
Chennu,alpha,39,9,moderate,1,gcc_pi,0.7705901592499073
Chennu,alpha,0,10,baseline,0,gcc_triad_plus_pi,0.3325187746132643
Chennu,alpha,1,10,moderate,1,gcc_triad_plus_pi,0.7087380988290545
Chennu,alpha,2,13,baseline,0,gcc_triad_plus_pi,0.3062318555705429
Chennu,alpha,3,13,moderate,1,gcc_triad_plus_pi,0.235260985303034
Chennu,alpha,4,14,baseline,0,gcc_triad_plus_pi,0.3032793003772853
Chennu,alpha,5,14,moderate,1,gcc_triad_plus_pi,0.1936947115653934
Chennu,alpha,6,18,baseline,0,gcc_triad_plus_pi,0.33192370674951827
Chennu,alpha,7,18,moderate,1,gcc_triad_plus_pi,0.7277426494111322
Chennu,alpha,8,2,baseline,0,gcc_triad_plus_pi,0.32047649798853173
Chennu,alpha,9,2,moderate,1,gcc_triad_plus_pi,0.4556965487004325
Chennu,alpha,10,20,baseline,0,gcc_triad_plus_pi,0.3346720266426362
Chennu,alpha,11,20,moderate,1,gcc_triad_plus_pi,0.9024265979544253
Chennu,alpha,12,22,baseline,0,gcc_triad_plus_pi,0.32949025786865066
Chennu,alpha,13,22,moderate,1,gcc_triad_plus_pi,0.6249099597439787
