dataset,band,subject,condition,y,dR,dD,dlogM,dPi,d_theta_power,d_alpha_power,d_beta_power,d_gamma_power,d_alpha_gamma_ratio,d_spectral_entropy
Chennu,alpha,10,baseline,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chennu,alpha,10,moderate,1,0.041193085700705734,0.17485190786015892,0.1126437243364844,-0.0977011494252874,-0.07914360725961056,0.11633617920643527,0.02423852853721202,-0.0036649915760360776,18.22928433656341,0.006568353282319195
Chennu,alpha,13,baseline,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chennu,alpha,13,moderate,1,-0.006032593373193507,-0.0030685889600334804,-0.0005003279679187678,0.017241379310344862,0.007364649206339252,-0.012515408043444753,0.04404790401403634,-0.0022189637179130467,13.715970885061054,0.016753523863573427
Chennu,alpha,14,baseline,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chennu,alpha,14,moderate,1,-0.023500661684009994,-0.056979273117178764,-0.10943444330712282,0.01724137931034475,0.011918740827906449,-0.05012417398004104,0.07323323292335915,-0.004212207702915284,8.598170242401029,0.007173508570498144
Chennu,alpha,18,baseline,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chennu,alpha,18,moderate,1,-0.03006255373883754,-0.08472387144813354,0.02420657588088959,-0.08045977011494276,-0.04235466489898709,-0.10578585816657704,0.18236039795518816,-0.0006891644764562086,-6.492217339085627,0.06854371853630348
Chennu,alpha,2,baseline,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chennu,alpha,2,moderate,1,-0.0251787024399574,-0.036332643603785186,0.0015772181434634547,-0.02298850574712652,-0.04569398400369586,-0.14420913105262506,0.18612888427412397,0.004351515350108073,-17.308592697392605,0.058154138331372396
Chennu,alpha,20,baseline,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chennu,alpha,20,moderate,1,0.11505934797501244,0.2769061963941226,0.02442529688376771,-0.16666666666666674,-0.13151805968448313,0.07857783369826021,0.31038903363167,0.003016167829191674,2.3546411516250556,0.10333005091799508
Chennu,alpha,22,baseline,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chennu,alpha,22,moderate,1,0.012440511731075132,0.12142868014886687,0.07080153523663091,-0.06896551724137934,-0.032123741908063184,0.004969736661483259,0.10489050561996771,9.185337328462828e-05,0.19384894378526774,0.014005031452430261
Chennu,alpha,23,baseline,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chennu,alpha,23,moderate,1,-0.05962315152645553,-0.13316784438860907,-0.0574390700178391,-0.1436781609195401,-0.06356006248618166,-0.11119048377465307,0.24924701121053505,0.005607629713004403,-70.72070472274152,0.11115688913613031
Chennu,alpha,24,baseline,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chennu,alpha,24,moderate,1,0.21846122977948373,0.3229452361809706,-0.22405540619273046,-0.16091954022988497,-0.0699173673298284,0.03479237525818474,0.0910683918961023,0.00863709089466027,-39.31665917252029,0.01955489247247688
Chennu,alpha,25,baseline,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chennu,alpha,25,moderate,1,-0.05516691354214259,-0.08486979392472449,0.1377613360404375,-0.10919540229885061,-0.039791918419453315,0.00209212345653631,0.07274148736663077,-0.03707425940261902,6.01608992603104,-0.01692004058970853
Chennu,alpha,26,baseline,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chennu,alpha,26,moderate,1,-0.022972511725981803,-0.03920801776980909,-0.07068897113413186,0.034482758620689724,-0.01821110356398839,-0.05760578880047723,0.050975725327641996,-0.0026440577116964743,1.9585531066281838,0.014297494303608493
Chennu,alpha,27,baseline,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chennu,alpha,27,moderate,1,-0.09074849814323663,-0.2140065719962223,-0.197219446957841,-0.24712643678160906,0.13095617659391276,-0.1696097958800494,0.13336515354481693,0.0074181239201054966,-46.10757133321269,0.05020230495709521
Chennu,alpha,28,baseline,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chennu,alpha,28,moderate,1,0.050125951308629235,0.09756962838541483,0.06066399389436583,0.017241379310344862,0.01916968981081911,-0.02713746415038032,0.06571618026840126,0.0011927112953929522,-2.437034525490702,0.012114046283766888
Chennu,alpha,29,baseline,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chennu,alpha,29,moderate,1,0.003937131614447531,-0.01943440500703275,0.023834219921982314,-1.1102230246251565e-16,-0.020848096431106036,-0.11369863223792953,0.11590082134868698,-0.002814874393409607,-2.145458217922691,0.03468496639830709
Chennu,alpha,3,baseline,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chennu,alpha,3,moderate,1,-0.06161588292845682,-0.15232182860785315,-0.2801801516016549,-0.2413793103448275,-0.04831481612707425,-0.19103687655977214,0.06740195830015555,-0.0194643735549566,6.5227027415331165,-0.036131491195452115
Chennu,alpha,5,baseline,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
