subject,band,n_channels,R_min,D_min,D_max,M_min,M_max
1010,alpha,62,0.1786390330205377,2.92542819954621,4.108932686345422,0.0013315692663082804,0.0037428019424477427
1016,alpha,62,0.17581223465136117,1.829884521452357,3.793954225559498,0.0018204870385803574,0.0047629938129478775
1017,alpha,62,0.17377559201250617,2.1902853088673,3.8580814341822647,0.0015125128086792459,0.0047518757609252595
1022,alpha,62,0.19675643519367703,2.478272590815183,3.615673818675124,0.0018527382303795967,0.005244531953869668
1024,alpha,62,0.1745834036655562,2.0366818917320217,3.4212645617935125,0.0020722573585211304,0.006541062654100162
1033,alpha,62,0.3390188408475897,1.4144820620501093,2.582774469531804,0.0030615188823005916,0.008462323027907533
1036,alpha,62,0.17523070419177467,2.5029562274995705,3.9649379231357,0.0018233633876197778,0.0046588157237741805
1037,alpha,62,0.1762389750370258,1.9114824632442895,3.132082235641817,0.0022829503869762117,0.006519532903865404
1045,alpha,62,0.41397651125178947,1.7460301557788493,2.6205892973041665,0.002876475904038839,0.006951165449795299
1046,alpha,62,0.21930238879629588,1.8229818113968101,2.5380987362850647,0.003125085361598207,0.009990562176566692
1054,alpha,62,0.18412216991572797,2.384741117526756,3.5596673991047014,0.0016900767789916932,0.004756272055302048
1055,alpha,62,0.2369617997745236,1.699458699183496,3.322735865824252,0.0019182071088315108,0.006987399254453298
1057,alpha,62,0.23902191812122375,1.3579434895630482,2.314920174549907,0.0036194047316308884,0.010092357855665495
1060,alpha,62,0.19746325685474397,1.8187459943462911,3.486679812736496,0.0027378639006224925,0.006030304086323724
1061,alpha,62,0.20498574682941556,1.718795249371704,2.679765114598789,0.0036911866662036356,0.009514824050999534
1062,alpha,62,0.2305398174989039,1.5859863224722135,2.7781366144042767,0.002430193893511051,0.0069116258813325965
1064,alpha,62,0.17919751105319834,2.562873822793337,3.9060149175362113,0.001307218014609882,0.003964563174765995
1067,alpha,62,0.18656410228083156,1.5308708514448994,4.292452394429351,0.002069692794906751,0.011639005287466633
1068,alpha,62,0.1867739150100252,2.107419368360519,3.397509899245051,0.002317095036720811,0.007418637487128828
1071,alpha,62,0.2077129634640322,1.6069768680170269,2.585295199348766,0.0034497033971128336,0.008065722918475422
1074,alpha,62,0.17921746719908374,1.9220442381094103,3.3575744226790976,0.0016990762771644137,0.004835952560093915
