subject,condition,band,filename,n_channels,n_windows,R_wpli_mean,D_eff_mean,M_tau_mean,Pi,Access_all
1010,awake,alpha,sub-1010_task-awake_acq-EC_eeg.vhdr,62,58,0.238686554486153,3.564761254395741,0.0027101169221637684,0.8275862068965516,0.6206896551724138
1010,sed,alpha,sub-1010_task-sed_acq-rest_run-1_eeg.vhdr,62,58,0.27352977276631146,2.680185188570547,0.005049727860295304,0.5632183908045977,0.1896551724137931
1010,sed2,alpha,sub-1010_task-sed2_acq-rest_run-1_eeg.vhdr,62,38,0.27841896732858284,2.762494621713968,0.0038572488484811744,0.6491228070175439,0.2894736842105263
1016,awake,alpha,sub-1016_task-awake_acq-EC_eeg.vhdr,62,58,0.2390842387766919,2.972902556267622,0.0031249342195527365,0.8275862068965516,0.603448275862069
1016,sed,alpha,sub-1016_task-sed_acq-rest_run-3_eeg.vhdr,62,58,0.22912283309495382,2.8909739403730303,0.003084432882683612,0.8333333333333334,0.6206896551724138
1016,sed2,alpha,sub-1016_task-sed2_acq-rest_run-2_eeg.vhdr,62,38,0.24767006240282963,3.008330069531557,0.0033489825830408776,0.8947368421052629,0.6842105263157895
1017,awake,alpha,sub-1017_task-awake_acq-EC_eeg.vhdr,62,58,0.2479696396244173,3.1066967576338134,0.0031281644595451924,0.8275862068965516,0.603448275862069
1017,sed,alpha,sub-1017_task-sed_acq-rest_run-1_eeg.vhdr,62,58,0.25942836782006434,3.3417268933689273,0.0033667774701523377,0.925287356321839,0.7758620689655172
1017,sed2,alpha,sub-1017_task-sed2_acq-rest_run-1_eeg.vhdr,62,38,0.25459062074810596,3.4384908959328637,0.003228631431735517,0.9122807017543857,0.7368421052631579
1022,awake,alpha,sub-1022_task-awake_acq-EC_eeg.vhdr,62,58,0.2635008919325518,3.0342452146078474,0.0034800124166292127,0.8275862068965517,0.6379310344827587
1022,sed,alpha,sub-1022_task-sed_acq-rest_run-1_eeg.vhdr,62,58,0.24430004628148208,3.1388854824701706,0.003844577512445554,0.82183908045977,0.6379310344827587
1022,sed2,alpha,sub-1022_task-sed2_acq-rest_run-1_eeg.vhdr,62,38,0.2524589958850573,2.7049130986502385,0.00444857333795226,0.7807017543859649,0.47368421052631576
1024,awake,alpha,sub-1024_task-awake_acq-EC_eeg.vhdr,62,58,0.24278219174850632,2.7124222244521845,0.004133643219243097,0.8275862068965516,0.5689655172413793
1024,sed,alpha,sub-1024_task-sed_acq-rest_run-3_eeg.vhdr,62,58,0.24774995049320744,3.008301864875536,0.0034072396530440124,0.839080459770115,0.5689655172413793
1024,sed2,alpha,sub-1024_task-sed2_acq-rest_run-2_eeg.vhdr,62,38,0.25229330634958486,3.148971987019158,0.003475524051698036,0.8421052631578947,0.6052631578947368
1033,awake,alpha,sub-1033_task-awake_acq-EC_eeg.vhdr,62,58,0.4874827794463961,1.929205246184417,0.00604373601547568,0.8275862068965517,0.5517241379310345
1033,sed,alpha,sub-1033_task-sed_acq-rest_run-3_eeg.vhdr,62,58,0.24694730355576086,2.945879909997464,0.003746979826633942,0.28160919540229884,0.0
1033,sed2,alpha,sub-1033_task-sed2_acq-rest_run-2_eeg.vhdr,62,38,0.23853318461599346,2.891153940951972,0.003781050218809014,0.2894736842105264,0.0
1036,awake,alpha,sub-1036_task-awake_acq-EC_eeg.vhdr,62,58,0.2131709993835018,3.326084794968543,0.003100205410082316,0.8275862068965516,0.5862068965517241
1036,sed,alpha,sub-1036_task-sed_acq-rest_run-1_eeg.vhdr,62,58,0.26643998049420187,3.3259988574398047,0.002769319110708421,0.8850574712643677,0.6896551724137931
1036,sed2,alpha,sub-1036_task-sed2_acq-rest_run-1_eeg.vhdr,62,38,0.2573868302375086,3.3621879647810204,0.002692581675964124,0.850877192982456,0.6052631578947368
1037,awake,alpha,sub-1037_task-awake_acq-EC_eeg.vhdr,62,58,0.228835197949324,2.633211794551908,0.004247969392825683,0.8275862068965517,0.5689655172413793
1045,awake,alpha,sub-1045_task-awake_acq-EC_eeg.vhdr,62,58,0.5365809156624554,2.1504612220148314,0.0049261309182985135,0.8275862068965517,0.5344827586206896
1045,sed,alpha,sub-1045_task-sed_acq-rest_run-2_eeg.vhdr,62,58,0.2289373451331984,2.762884110854523,0.0039849762094249,0.367816091954023,0.0
1045,sed2,alpha,sub-1045_task-sed2_acq-rest_run-2_eeg.vhdr,62,38,0.26494518707564385,2.566600734955585,0.004323986180763227,0.4736842105263157,0.0
1046,awake,alpha,sub-1046_task-awake_acq-EC_eeg.vhdr,62,58,0.31051268294856055,2.1851789099632404,0.006456943020790005,0.8275862068965516,0.5862068965517241
1046,sed,alpha,sub-1046_task-sed_acq-rest_run-1_eeg.vhdr,62,58,0.27295040635696866,2.261135979761466,0.004931414918907571,0.7126436781609196,0.3620689655172414
1046,sed2,alpha,sub-1046_task-sed2_acq-rest_run-2_eeg.vhdr,62,38,0.24841878034739534,2.207098977545664,0.006033172559199665,0.8421052631578947,0.6052631578947368
1054,awake,alpha,sub-1054_task-awake_acq-EC_eeg.vhdr,62,58,0.25055414050657027,2.9925770710963224,0.003219321203661838,0.8275862068965516,0.5862068965517241
1054,sed,alpha,sub-1054_task-sed_acq-rest_run-2_eeg.vhdr,62,58,0.25245490400555576,3.019878796447291,0.0036622690825811673,0.8160919540229885,0.5517241379310345
1054,sed2,alpha,sub-1054_task-sed2_acq-rest_run-2_eeg.vhdr,62,38,0.2562502217242897,3.1770939184145752,0.0031797748223140214,0.8859649122807015,0.6842105263157895
