subject,condition,band,filename,n_channels,n_windows,R_wpli_mean,D_eff_mean,M_tau_mean,Pi,Access_all
1010,awake,gamma,sub-1010_task-awake_acq-EC_eeg.vhdr,62,58,0.13863572544310285,4.259900775580137,0.002805070199619239,0.8275862068965516,0.603448275862069
1010,sed,gamma,sub-1010_task-sed_acq-rest_run-1_eeg.vhdr,62,58,0.1271507977917607,4.170913827304273,0.0028699489300249292,0.5804597701149425,0.1724137931034483
1010,sed2,gamma,sub-1010_task-sed2_acq-rest_run-1_eeg.vhdr,62,38,0.12866104741245832,4.711029075538567,0.001954610617497228,0.6228070175438596,0.3157894736842105
1016,awake,gamma,sub-1016_task-awake_acq-EC_eeg.vhdr,62,58,0.12222725934551314,4.675738155600447,0.001527777952291298,0.8275862068965516,0.5517241379310345
1016,sed,gamma,sub-1016_task-sed_acq-rest_run-3_eeg.vhdr,62,58,0.12447174592292393,4.264167847637247,0.0017624865744847976,0.7701149425287356,0.4482758620689655
1016,sed2,gamma,sub-1016_task-sed2_acq-rest_run-2_eeg.vhdr,62,38,0.12141989125618377,5.778330624668784,0.0013239005330955315,0.6754385964912281,0.21052631578947367
1017,awake,gamma,sub-1017_task-awake_acq-EC_eeg.vhdr,62,58,0.12340076929454082,5.186783780879901,0.001720754918234982,0.8275862068965517,0.603448275862069
1017,sed,gamma,sub-1017_task-sed_acq-rest_run-1_eeg.vhdr,62,58,0.1389680760315579,4.689842126966937,0.0024715805249040327,0.603448275862069,0.13793103448275862
1017,sed2,gamma,sub-1017_task-sed2_acq-rest_run-1_eeg.vhdr,62,38,0.13467436779125092,4.347849645406041,0.0026309672854934194,0.5263157894736842,0.07894736842105263
1022,awake,gamma,sub-1022_task-awake_acq-EC_eeg.vhdr,62,58,0.12651285626203745,4.893769871293573,0.0016046073210729936,0.8275862068965516,0.5517241379310345
1022,sed,gamma,sub-1022_task-sed_acq-rest_run-1_eeg.vhdr,62,58,0.13297145587712045,4.2814749136027155,0.0021636404648731444,0.5919540229885056,0.20689655172413793
1022,sed2,gamma,sub-1022_task-sed2_acq-rest_run-1_eeg.vhdr,62,38,0.13311510584768896,4.493218881055941,0.002158778295637542,0.6315789473684211,0.21052631578947367
1024,awake,gamma,sub-1024_task-awake_acq-EC_eeg.vhdr,62,58,0.12501809601104516,4.26283949686771,0.0019147762332636224,0.8275862068965517,0.5344827586206896
1024,sed,gamma,sub-1024_task-sed_acq-rest_run-3_eeg.vhdr,62,58,0.1311020947095239,3.783944285090137,0.0028100482235153853,0.5517241379310345,0.15517241379310345
1024,sed2,gamma,sub-1024_task-sed2_acq-rest_run-2_eeg.vhdr,62,38,0.13600401602101192,4.424641458048728,0.002342718463251536,0.6666666666666666,0.3157894736842105
1033,awake,gamma,sub-1033_task-awake_acq-EC_eeg.vhdr,62,58,0.13310528075633965,3.0675020661779615,0.0014155017518062548,0.8275862068965517,0.5862068965517241
1033,sed,gamma,sub-1033_task-sed_acq-rest_run-3_eeg.vhdr,62,58,0.12381753593425238,4.906525420098549,0.001279781253481395,0.5804597701149425,0.06896551724137931
1033,sed2,gamma,sub-1033_task-sed2_acq-rest_run-2_eeg.vhdr,62,38,0.130213217413404,5.114665050393776,0.0014680716046057746,0.6052631578947367,0.05263157894736842
1036,awake,gamma,sub-1036_task-awake_acq-EC_eeg.vhdr,62,58,0.12506515659183495,6.707762184729345,0.0010748965943232589,0.8275862068965516,0.5517241379310345
1036,sed,gamma,sub-1036_task-sed_acq-rest_run-1_eeg.vhdr,62,58,0.12899593236019966,5.27351758606336,0.0018661957853519087,0.3390804597701149,0.0
1036,sed2,gamma,sub-1036_task-sed2_acq-rest_run-1_eeg.vhdr,62,38,0.12913474585067478,5.884965359698954,0.0020328794708049255,0.5087719298245613,0.10526315789473684
1037,awake,gamma,sub-1037_task-awake_acq-EC_eeg.vhdr,62,58,0.12244677762660906,3.6436782024529495,0.0016983649959209977,0.8275862068965516,0.5689655172413793
1045,awake,gamma,sub-1045_task-awake_acq-EC_eeg.vhdr,62,58,0.1259863487076544,4.6949446073909,0.001480440664749635,0.8275862068965517,0.5689655172413793
1045,sed,gamma,sub-1045_task-sed_acq-rest_run-2_eeg.vhdr,62,58,0.13259062685313247,3.802103146946356,0.00234582558809387,0.4080459770114942,0.05172413793103448
1045,sed2,gamma,sub-1045_task-sed2_acq-rest_run-2_eeg.vhdr,62,38,0.12792166292687024,6.198026877626313,0.0014910195597063899,0.5350877192982457,0.05263157894736842
1046,awake,gamma,sub-1046_task-awake_acq-EC_eeg.vhdr,62,58,0.1324222057489583,3.806142766885254,0.0019528360595831812,0.8275862068965517,0.5344827586206896
1046,sed,gamma,sub-1046_task-sed_acq-rest_run-1_eeg.vhdr,62,58,0.12586172314886232,3.8863414686433235,0.0021042181946544815,0.8275862068965517,0.5862068965517241
1046,sed2,gamma,sub-1046_task-sed2_acq-rest_run-2_eeg.vhdr,62,38,0.12334276117537367,6.8849446653760324,0.0011373488628459783,0.324561403508772,0.0
1054,awake,gamma,sub-1054_task-awake_acq-EC_eeg.vhdr,62,58,0.12661339870196348,7.040626152919613,0.001036546799828068,0.8275862068965517,0.5862068965517241
1054,sed,gamma,sub-1054_task-sed_acq-rest_run-2_eeg.vhdr,62,58,0.12987081723181076,7.282073095565393,0.001375412572814354,0.735632183908046,0.4482758620689655
1054,sed2,gamma,sub-1054_task-sed2_acq-rest_run-2_eeg.vhdr,62,38,0.1287715511796017,4.5879049639800655,0.002116655492657758,0.324561403508772,0.0
1055,awake,gamma,sub-1055_task-awake_acq-EC_eeg.vhdr,62,58,0.12106847271153534,4.806045663050958,0.0017169425877936006,0.8275862068965516,0.5862068965517241
1055,sed,gamma,sub-1055_task-sed_acq-rest_run-2_eeg.vhdr,62,58,0.12449188001657986,4.724311995044996,0.0019047618428242779,0.8218390804597699,0.5517241379310345
1055,sed2,gamma,sub-1055_task-sed2_acq-rest_run-1_eeg.vhdr,62,38,0.12946987207226604,4.365271086854562,0.00214722929587871,0.7017543859649121,0.3684210526315789
1057,awake,gamma,sub-1057_task-awake_acq-EC_eeg.vhdr,62,58,0.12559240135764715,5.79560220831616,0.0012953447357191485,0.8275862068965517,0.5517241379310345
1057,sed,gamma,sub-1057_task-sed_acq-rest_run-2_eeg.vhdr,62,58,0.12719635438704552,4.5709216483582376,0.0019139703623235545,0.44252873563218387,0.034482758620689655
1057,sed2,gamma,sub-1057_task-sed2_acq-rest_run-2_eeg.vhdr,62,38,0.12125415603158325,5.408752298737942,0.0016769980614391843,0.6929824561403508,0.3684210526315789
1060,awake,gamma,sub-1060_task-awake_acq-EC_eeg.vhdr,62,58,0.12674378795251778,4.704031098542391,0.0013523006402055798,0.8275862068965516,0.603448275862069
1060,sed,gamma,sub-1060_task-sed_acq-rest_run-3_eeg.vhdr,62,58,0.13102784465834452,4.662687006754777,0.0017386915979027459,0.8333333333333333,0.5344827586206896
1060,sed2,gamma,sub-1060_task-sed2_acq-rest_run-2_eeg.vhdr,62,38,0.1293255390675859,4.986162916077122,0.001882436721888319,0.8333333333333334,0.5526315789473685
1061,awake,gamma,sub-1061_task-awake_acq-EC_eeg.vhdr,62,58,0.12569317416343637,6.199650175253695,0.0015328395781760678,0.8275862068965517,0.5344827586206896
1061,sed,gamma,sub-1061_task-sed_acq-rest_run-3_eeg.vhdr,62,58,0.1351621021155196,3.965730761918029,0.002437535969303529,0.3505747126436781,0.0
1061,sed2,gamma,sub-1061_task-sed2_acq-rest_run-3_eeg.vhdr,62,38,0.12163083132062792,4.4806832103427725,0.002789385889087091,0.38596491228070173,0.0
1062,awake,gamma,sub-1062_task-awake_acq-EC_eeg.vhdr,62,58,0.11755549854154672,4.526418518247177,0.001070574245952783,0.8275862068965516,0.5862068965517241
1062,sed,gamma,sub-1062_task-sed_acq-rest_run-2_eeg.vhdr,62,58,0.13158490869856682,4.6954453368399935,0.0022025211536963237,0.5229885057471265,0.0
1062,sed2,gamma,sub-1062_task-sed2_acq-rest_run-2_eeg.vhdr,62,38,0.1237903112462086,4.347645458722775,0.0020683835115480114,0.5964912280701754,0.05263157894736842
1064,awake,gamma,sub-1064_task-awake_acq-EC_eeg.vhdr,62,58,0.13795860192087303,4.202276848356545,0.00212669167935974,0.8275862068965516,0.5689655172413793
1064,sed,gamma,sub-1064_task-sed_acq-rest_run-1_eeg.vhdr,62,58,0.12898932171099042,4.29709318932959,0.002466479882018655,0.7356321839080461,0.43103448275862066
1064,sed2,gamma,sub-1064_task-sed2_acq-rest_run-2_eeg.vhdr,62,38,0.1613766618164227,4.423970002982706,0.003541070248870891,0.4736842105263157,0.10526315789473684
1067,awake,gamma,sub-1067_task-awake_acq-EC_eeg.vhdr,62,58,0.13109481333540046,6.386161950364004,0.0020856033604902467,0.8275862068965516,0.6379310344827587
1067,sed,gamma,sub-1067_task-sed_acq-rest_run-1_eeg.vhdr,62,58,0.130063806120804,3.694557636462976,0.002716343111016286,0.528735632183908,0.0
1067,sed2,gamma,sub-1067_task-sed2_acq-rest_run-3_eeg.vhdr,62,38,0.14286120982774814,5.549525067369021,0.0019993336682970902,0.9035087719298243,0.7631578947368421
1068,awake,gamma,sub-1068_task-awake_acq-EC_eeg.vhdr,62,58,0.1375514572162882,4.714566892394249,0.0023012008743102585,0.8275862068965517,0.5862068965517241
1068,sed,gamma,sub-1068_task-sed_acq-rest_run-1_eeg.vhdr,62,58,0.1363426206913364,3.5980170190226195,0.0027539623146830734,0.5977011494252874,0.13793103448275862
1068,sed2,gamma,sub-1068_task-sed2_acq-rest_run-1_eeg.vhdr,62,38,0.13194809223516457,4.491235168912056,0.0042335161538404635,0.5964912280701753,0.3157894736842105
1071,awake,gamma,sub-1071_task-awake_acq-EC_eeg.vhdr,62,58,0.1281324285539578,6.909483870297215,0.0008307285180716554,0.8275862068965516,0.5862068965517241
1071,sed,gamma,sub-1071_task-sed_acq-rest_run-2_eeg.vhdr,62,58,0.154296083928406,3.6945276337044146,0.0033286033303602937,0.3160919540229885,0.0
1071,sed2,gamma,sub-1071_task-sed2_acq-rest_run-1_eeg.vhdr,62,38,0.15233871688102124,4.54547858825269,0.0024544166041729175,0.34210526315789486,0.0
1074,awake,gamma,sub-1074_task-awake_acq-EC_eeg.vhdr,62,58,0.130784582534789,5.029076123796184,0.001325280548672439,0.8275862068965517,0.5689655172413793
1074,sed,gamma,sub-1074_task-sed_acq-rest_run-2_eeg.vhdr,62,58,0.14227565579415996,3.723611336320586,0.0022397399774258192,0.396551724137931,0.06896551724137931
1074,sed2,gamma,sub-1074_task-sed2_acq-rest_run-2_eeg.vhdr,62,38,0.1354122924956009,4.69712160553988,0.0023588214780428927,0.6140350877192982,0.3157894736842105
