subject,band,n_channels,R_min,D_min,D_max,M_min,M_max
2,gamma,91,0.1274635159864945,5.5192534688543775,7.371942614133733,0.001058941186304843,0.0022706364968584675
3,gamma,91,0.12058076945864662,4.588765434436963,6.7621935835382345,0.0008545585680481584,0.001972268756383614
5,gamma,91,0.12309832634426114,5.314883216597488,6.584052082877316,0.001241099899669252,0.002496618599268358
6,gamma,91,0.12289085158751425,4.642330784862909,5.771752637625517,0.001249954472087877,0.0024616914430839604
7,gamma,91,0.11569999293897391,5.077331607378523,6.7139685233422295,0.0009889240564381284,0.0022595026669401104
8,gamma,91,0.11534635884364634,4.694559692740688,8.097855498161435,0.0008020939747490659,0.0016433506040334747
9,gamma,91,0.129472201590513,5.095020887535089,6.408338565271236,0.0010643733399095699,0.0020312330851947847
10,gamma,91,0.12859116818587984,3.81169156079306,6.224118242824916,0.0012591008382578418,0.0034497956702254995
13,gamma,91,0.12193700025525413,5.084554146218957,6.5852874723414105,0.0013598712086300686,0.002289497920623727
14,gamma,91,0.12569581051080309,6.434866252280678,7.921215975586167,0.0010891209847255058,0.001959188322080347
18,gamma,91,0.11921028149906604,5.4126513152742115,6.834270909927345,0.0012439647718973084,0.0021126263021405156
20,gamma,91,0.12430793400768299,5.521904795720948,7.414014130334489,0.0008898815468118662,0.0019809286559577498
22,gamma,91,0.12783306410227419,6.455484112834073,7.96497530308725,0.0007612931214044558,0.0016343020050252556
23,gamma,91,0.12355436231954443,7.667231288581285,9.903533839707888,0.0006268687498083359,0.0012573484077267837
24,gamma,91,0.12359116695527253,5.382703130825887,7.135727224545725,0.0011068038618514357,0.002361137161072213
25,gamma,91,0.11351639970904183,5.310471855720366,6.359747352026223,0.0009891347763533373,0.0016412063019987115
26,gamma,91,0.1173226032688983,4.604901610055289,5.688990371389351,0.0012509238184471195,0.0024280097143344775
27,gamma,91,0.11787360468971161,4.981067189104898,7.199543137641322,0.0013539362607422195,0.0023848992794757583
28,gamma,91,0.11570360913858349,4.5090098591479055,6.364320710663329,0.0017908498251713889,0.003468908550281975
29,gamma,91,0.12239242318598283,5.806413753737334,6.945899044742719,0.0010630005278208304,0.002231667625575022
