subject,condition,band,filename,n_channels,n_windows,R_wpli_mean,D_eff_mean,M_tau_mean,Pi,Access_all
2,baseline,gamma,02-2010-anest 20100210 135.003.set,91,58,0.1503902151116022,6.453326959180492,0.0017114193508901835,0.8275862068965516,0.5862068965517241
2,mild,gamma,02-2010-anest 20100210 135.006.set,91,58,0.21276081911661412,5.241234674013068,0.0019674713171483954,0.6724137931034482,0.29310344827586204
2,moderate,gamma,02-2010-anest 20100210 135.014.set,91,58,0.19824642260212832,4.652184792604684,0.002172371879902379,0.5287356321839081,0.017241379310344827
2,recovery,gamma,02-2010-anest- 20100210 16.003.set,91,58,0.1681838732340497,6.036958478317274,0.0020041672313608457,0.8103448275862067,0.5862068965517241
3,baseline,gamma,03-2010-anest 20100211 142.003.set,91,58,0.13519481524924487,5.528903879915447,0.0013300606934054128,0.8275862068965518,0.5689655172413793
3,mild,gamma,03-2010-anest 20100211 142.008.set,91,58,0.1362006893471764,6.099025923241312,0.001348825868743746,0.8333333333333334,0.603448275862069
3,moderate,gamma,03-2010-anest 20100211 142.021.set,91,58,0.14233113281055507,8.72700874828238,0.0010780732929263062,0.5632183908045977,0.05172413793103448
3,recovery,gamma,03-2010-anest 20100211 142.026.set,91,58,0.132915282148615,6.759943575104749,0.0011102174774924283,0.6666666666666666,0.3103448275862069
5,baseline,gamma,05-2010-anest 20100223 095.004.set,91,58,0.15508288471185247,6.017094544481068,0.001815880784571773,0.8275862068965517,0.5689655172413793
5,mild,gamma,05-2010-anest 20100223 095.009.set,91,58,0.15452750924850425,5.810023901414935,0.0020581140303425794,0.82183908045977,0.5517241379310345
5,moderate,gamma,05-2010-anest 20100223 095.022.set,91,58,0.14434289388125873,5.586281258714471,0.0019247056448292157,0.7643678160919539,0.4482758620689655
5,recovery,gamma,05-2010-anest 20100223 095.027.set,91,58,0.1504105911843481,6.123594863785997,0.0018469438608126939,0.8275862068965517,0.5862068965517241
6,baseline,gamma,06-2010-anest 20100224 093.003.set,91,58,0.14419636223493837,5.22739147969705,0.0017771447848658397,0.8275862068965516,0.5689655172413793
6,mild,gamma,06-2010-anest 20100224 093.008.set,91,58,0.15652610365058245,5.6968726869686535,0.0019543200143846058,0.7241379310344828,0.27586206896551724
6,moderate,gamma,06-2010-anest 20100224 093.013.set,91,58,0.1471972858278117,4.731699050775875,0.00221147188949504,0.7126436781609194,0.4482758620689655
6,recovery,gamma,06-2010-anest 20100224 093.026.set,91,58,0.14158151548102654,7.48869655570746,0.00124683494130025,0.41379310344827586,0.0
7,baseline,gamma,07-2010-anest 20100226 133.003.set,91,58,0.13714973107242595,5.9653908369187345,0.001512651587635685,0.8275862068965517,0.5689655172413793
7,mild,gamma,07-2010-anest 20100226 133.008.set,91,58,0.14408364322751233,5.0100046352204615,0.0017702813869636864,0.7471264367816091,0.41379310344827586
7,moderate,gamma,07-2010-anest 20100226 133.021.set,91,58,0.14660582717926154,4.511876326351292,0.002533413557153693,0.49425287356321845,0.06896551724137931
7,recovery,gamma,07-2010-anest 20100226 133.027.set,91,58,0.13844732755484437,5.1186934390456145,0.0015689837971945492,0.735632183908046,0.3103448275862069
8,baseline,gamma,08-2010-anest 20100301 095.004.set,91,58,0.13245666867914108,6.759185525838308,0.0012027782821199483,0.8275862068965516,0.5862068965517241
8,mild,gamma,08-2010-anest 20100301 095.010.set,91,58,0.14200893790599994,5.982333385537961,0.0015197141882739038,0.839080459770115,0.5344827586206896
8,moderate,gamma,08-2010-anest 20100301 095.015.set,91,58,0.14642424320275566,6.387207217877049,0.001535492376717411,0.8678160919540229,0.603448275862069
8,recovery,gamma,08-2010-anest 20100301 095.028.set,91,58,0.1372278506006724,6.831292361046118,0.0014164285255452854,0.7701149425287357,0.4827586206896552
9,baseline,gamma,09-2010-anest 20100301 135.003.set,91,58,0.15177355043763965,5.78196402022424,0.0015141512491040462,0.8275862068965517,0.5862068965517241
9,mild,gamma,09-2010-anest 20100301 135.008.set,91,58,0.1394107729251096,6.551299213324928,0.001478517114952923,0.6206896551724138,0.22413793103448276
9,moderate,gamma,09-2010-anest 20100301 135.021.set,91,58,0.1502524585233494,6.623779176372708,0.001490317429302615,0.6724137931034483,0.2413793103448276
9,recovery,gamma,09-2010-anest 20100301 135.026.set,91,58,0.13930639824392435,6.6959775325553545,0.0014044347434306217,0.5977011494252873,0.22413793103448276
10,baseline,gamma,10-2010-anest 20100305 130.005.set,91,58,0.1610836788893817,4.91772854254588,0.0021924444422607653,0.8275862068965517,0.6551724137931034
10,mild,gamma,10-2010-anest 20100305 130.010.set,91,58,0.17030669057675848,4.733176706030385,0.0020182804371519244,0.7988505747126436,0.5344827586206896
10,moderate,gamma,10-2010-anest 20100305 130.015.set,91,58,0.14401111859445445,5.641636415713608,0.0019012587771944946,0.8448275862068966,0.6379310344827587
10,recovery,gamma,10-2010-anest 20100305 130.028.set,91,58,0.18763542377608927,4.830939161901546,0.002550945370899434,0.8390804597701149,0.6896551724137931
13,baseline,gamma,13-2010-anest 20100322 132.003.set,91,58,0.14154162055167516,5.846153540130396,0.0018192907056138582,0.8275862068965516,0.5689655172413793
13,mild,gamma,13-2010-anest 20100322 132.008.set,91,58,0.1437601261072296,5.41309802939939,0.001675239825317588,0.67816091954023,0.29310344827586204
13,moderate,gamma,13-2010-anest 20100322 132.013.set,91,58,0.1502923357045483,6.0730272764935265,0.0018276232673933028,0.8275862068965517,0.5517241379310345
13,recovery,gamma,13-2010-anest 20100322 132.026.set,91,58,0.13762826607757814,7.686009274806771,0.0013256261381806441,0.4137931034482758,0.034482758620689655
14,baseline,gamma,14-2010-anest 20100324 125.007.set,91,58,0.1416809810821569,7.141394124606232,0.0015404252724599918,0.8275862068965516,0.5862068965517241
14,mild,gamma,14-2010-anest 20100324 132.011.set,91,58,0.13964808121093514,6.624052859404502,0.0016069304803126023,0.6896551724137929,0.39655172413793105
14,moderate,gamma,14-2010-anest 20100324 132.016.set,91,58,0.1427293040999041,4.970446377783579,0.0018349887031267834,0.4885057471264368,0.0
14,recovery,gamma,14-2010-anest 20100324 132.031.set,91,58,0.13512611572982974,5.298886552301867,0.0016291479615047832,0.5172413793103449,0.06896551724137931
18,baseline,gamma,18-2010-anest 20100331 140.003.set,91,58,0.14376196629060445,6.091576644479509,0.001707411732188356,0.8275862068965516,0.6379310344827587
18,mild,gamma,18-2010-anest 20100331 140.009.set,91,58,0.1792385122793926,5.210188865421288,0.0017844001463063345,0.7011494252873561,0.27586206896551724
18,moderate,gamma,18-2010-anest 20100331 140.014.set,91,58,0.18400754910970232,4.848332708410961,0.001978885640832102,0.5977011494252873,0.08620689655172414
18,recovery,gamma,18-2010-anest 20100331 140.027.set,91,58,0.14665979728155204,6.457999652937132,0.0016605826339745422,0.6206896551724137,0.2413793103448276
20,baseline,gamma,20-2010-anest 20100414 131.004.set,91,58,0.1382589914172318,6.366111468379467,0.0014334818208184591,0.8275862068965517,0.603448275862069
20,mild,gamma,20-2010-anest 20100414 131.009.set,91,58,0.1480856278719092,6.111854605500764,0.0016216374289916623,0.7413793103448277,0.43103448275862066
20,moderate,gamma,20-2010-anest 20100414 131.022.set,91,58,0.15044402890699973,6.054358607524327,0.0016459928561185502,0.8505747126436781,0.6206896551724138
20,recovery,gamma,20-2010-anest 20100414 131.027.set,91,58,0.14189491267883841,7.36109419313009,0.0012364969537076043,0.7528735632183907,0.46551724137931033
22,baseline,gamma,22-2010-anest 20100415 132.004.set,91,58,0.1438604300721378,7.17776229592719,0.0011825495849021,0.8275862068965517,0.5862068965517241
22,mild,gamma,22-2010-anest 20100415 132.009.set,91,58,0.1565602259618944,6.176431523008249,0.0014960631366632336,0.6436781609195401,0.2413793103448276
22,moderate,gamma,22-2010-anest 20100415 132.014.set,91,58,0.15577079206850228,5.927288216247179,0.0017027967285382032,0.49425287356321834,0.1896551724137931
22,recovery,gamma,22-2010-anest 20100415 154.003.set,91,58,0.14593384210437504,3.5586133164795495,0.00201083287372962,0.3563218390804597,0.017241379310344827
23,baseline,gamma,23-2010-anest 20100420 094.003.set,91,58,0.137682944565256,8.649681253950545,0.0009343889180950016,0.8275862068965517,0.6379310344827587
23,mild,gamma,23-2010-anest 20100420 094.008.set,91,58,0.16072301949099277,8.231609664749914,0.0010495296076107204,0.8275862068965517,0.603448275862069
23,moderate,gamma,23-2010-anest 20100420 094.022.set,91,58,0.1717615442255601,4.560376851801424,0.0016371063361019405,0.43103448275862066,0.0
23,recovery,gamma,23-2010-anest 20100420 094.027.set,91,58,0.386256765376264,1.4057444536716612,0.0038035718695616913,0.33333333333333326,0.0
24,baseline,gamma,24-2010-anest 20100420 134.003.set,91,58,0.1396574496085743,6.290121202858304,0.0016882741371737737,0.8275862068965517,0.6206896551724138
24,mild,gamma,24-2010-anest 20100420 134.010.set,91,58,0.24262862291084236,2.204134107410441,0.0029098903231770455,0.41379310344827586,0.0
24,moderate,gamma,24-2010-anest 20100420 134.015.set,91,58,0.22245739999857544,2.7386050237972293,0.002414634636085779,0.4942528735632184,0.0
24,recovery,gamma,24-2010-anest 20100420 134.028.set,91,58,0.15551220200788415,6.248314716871714,0.0013182663099803272,0.7586206896551723,0.41379310344827586
25,baseline,gamma,25-2010-anest 20100422 133.003.set,91,58,0.13158380464546526,5.794384919804454,0.0013322452309155943,0.8275862068965517,0.5689655172413793
25,mild,gamma,25-2010-anest 20100422 133.008.set,91,58,0.13477436383857083,6.56391358230094,0.001302712399254316,0.7011494252873561,0.27586206896551724
25,moderate,gamma,25-2010-anest 20100422 133.021.set,91,58,0.1400101090161809,6.453905218112689,0.0012957156538200981,0.6436781609195401,0.1896551724137931
25,recovery,gamma,25-2010-anest 20100422 133.026.set,91,58,0.14320258605682004,7.071419667202746,0.000977246356915833,0.5517241379310345,0.06896551724137931
26,baseline,gamma,26-2010-anest 20100507 132.003.set,91,58,0.14021886349728405,5.143547071657471,0.0018293946753201145,0.8275862068965516,0.5517241379310345
26,mild,gamma,26-2010-anest 20100507 132.008.set,91,58,0.1368078806531666,5.490887182435905,0.0016272228355044853,0.7701149425287356,0.46551724137931033
