dataset,band,subject,condition,y,dR,dD,dlogM,dPi,d_theta_power,d_alpha_power,d_beta_power,d_gamma_power,d_alpha_gamma_ratio,d_spectral_entropy
Chennu,alpha,2,baseline,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chennu,alpha,2,moderate,1,0.0096529367126156,0.1234482494712243,0.0616123777093657,-0.0177192673992674,-0.0477806543978524,-0.1293540698260817,0.1698858276308876,0.0062628112088691,-20.494086701995503,0.0617568015010535
Chennu,alpha,3,baseline,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chennu,alpha,3,moderate,1,-0.0544657094927038,0.4101527207489357,-0.1540163364089513,-0.0826903225806452,-0.0455123739128489,-0.0885707196789419,-0.0164769844252763,-0.0186052530371681,22.58868113168285,-0.048492584496419
Chennu,alpha,5,baseline,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chennu,alpha,5,moderate,1,-0.051883252075304,0.5763336470627567,-0.1311651264588005,-0.1814133333333334,-0.0185936551538608,-0.0785850516061958,0.1414789332626846,-0.0091758156503079,6.935593337095458,0.0286214562631038
Chennu,alpha,6,baseline,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chennu,alpha,6,moderate,1,-0.0187607597332549,0.325385889344385,-0.0283018060105746,-0.0502380952380951,-0.0013491823092052,-0.1398368931706663,0.0498903571453891,-0.0005671873262087,-15.665296511369718,0.0482193744495987
Chennu,alpha,7,baseline,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chennu,alpha,7,moderate,1,0.0140528114284891,-0.3354964333295189,0.1291146867244381,-0.1441142174432497,-0.1556937866983697,0.2004744535937061,0.1293066044427482,-0.0147134955257862,58.9072252313974,0.0178388773371935
Chennu,alpha,8,baseline,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chennu,alpha,8,moderate,1,-0.0558173660635827,-0.0801386043623315,-0.2108405210287869,-0.0126642642642642,-0.0328212171627265,0.0802887250096632,-0.0150880806221792,-0.0205522534641559,39.99078784205379,-0.0362689714594387
Chennu,alpha,9,baseline,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chennu,alpha,9,moderate,1,-0.1031097502463203,0.9613840517314158,0.1082361225102332,-0.4715804878048781,-0.0164189918448279,-0.2851864780908257,0.2975627557085822,0.0014445328681448,-45.389402082151406,0.1766105561917175
Chennu,alpha,10,baseline,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chennu,alpha,10,moderate,1,-0.0162762657173331,-0.0337236104669647,-0.1051017356362704,0.1201051597051596,-0.0849868308241127,0.1308014289741916,0.0168861113097722,-0.0023596462595382,20.07023455585341,-0.0022282845720857
Chennu,alpha,13,baseline,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chennu,alpha,13,moderate,1,-0.0143023613421124,0.1390973566807605,-0.0517395293349691,-0.0551832395247029,0.0081148583830621,-0.0217751768561705,0.0434845275664779,-0.0018660751065072,8.6805991304333,0.0259772232756995
Chennu,alpha,14,baseline,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chennu,alpha,14,moderate,1,-0.0163649581556819,0.0117615184598549,-0.1173048721365459,0.0619541463414633,0.0113613371801742,0.0117020227800165,0.0016651054891809,-0.0043296649890608,19.195838982509137,0.0021742168312171
Chennu,alpha,18,baseline,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chennu,alpha,18,moderate,1,-0.0666896279177261,0.609142689956554,-0.1195907150446116,-0.3093758536585365,-0.0432767980710191,-0.1408254988673571,0.2073791349982698,0.0012921306623046,-17.244900738520897,0.0890437378366673
Chennu,alpha,20,baseline,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chennu,alpha,20,moderate,1,-0.0119754758387204,0.2502000432537348,-0.0433898940894579,-0.0268326829268292,-0.1237668254215804,0.0645928740288329,0.3068088643721803,0.0034365008128289,1.4992348999058676,0.126536453742004
Chennu,alpha,22,baseline,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chennu,alpha,22,moderate,1,0.0186967965397822,-0.162362771725232,0.0042677886708277,-0.0027466666666666,-0.0285710212030635,0.0474915390730404,0.0599596853059183,-0.0001900753186941,2.65391648128524,0.0191336282766506
Chennu,alpha,23,baseline,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chennu,alpha,23,moderate,1,-0.0479804711204862,0.6907952141570624,-0.0926459452044614,-0.2479498257839721,-0.059790859535969,-0.0458425779620202,0.1919449010776421,0.0050933159582687,-60.44273084963586,0.1240611704206576
Chennu,alpha,24,baseline,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chennu,alpha,24,moderate,1,-0.0627569442391899,0.3315227848821442,-0.1716230126188396,-0.2404037894736841,-0.0551893051635942,-0.0129506446065658,0.1044924344134766,0.009136980183668,-51.86690492088629,0.0254626357787411
Chennu,alpha,25,baseline,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chennu,alpha,25,moderate,1,-0.0195741835005937,-0.3594364860003098,-0.096280869530767,-0.0887609609609609,-0.0377432139508367,0.0572870437171361,0.0117030290696847,-0.0405598967394078,11.656899001261516,-0.023700832384053
Chennu,alpha,26,baseline,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chennu,alpha,26,moderate,1,-0.0396489779031002,0.1749708854356635,-0.1420955868733049,-0.0045961904761904,-0.0242374336824469,-0.0423197954616845,0.0267786562623529,-0.001672241020719,1.46325420959716,0.0226863172511242
Chennu,alpha,27,baseline,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chennu,alpha,27,moderate,1,-0.05007262583676,0.5574661502104346,-0.0954075994679257,-0.2080353140916807,0.1368022199912313,-0.1400868429586043,0.0830503616986633,0.0058020241582409,-39.37949990070672,0.0578868553896758
Chennu,alpha,28,baseline,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chennu,alpha,28,moderate,1,-0.0123365532254748,0.056860792070319,-0.0006119354715545,0.045795385629532,-0.0001383349707562,0.0112470749987385,0.053574378896147,0.0023684453825525,-1.7701065026250724,0.0346567370445447
Chennu,alpha,29,baseline,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chennu,alpha,29,moderate,1,-0.0018031354913911,0.3066902695264617,0.0290991839771801,-0.0438494773519163,-0.0224721911907879,-0.0916882362923753,0.0874134312553951,-0.0015522226779023,-2.8343739100372147,0.0403191890666342
DS005620,alpha,1010,awake,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DS005620,alpha,1010,sed,1,-0.0028670147790635,-0.2612257303748859,0.1612590801368645,-0.1636193155180497,-0.0733967221895734,0.1221062411623004,0.0609648934824112,-0.0063005884562909,25.535781626690188,0.033296066876194
DS005620,alpha,1010,sed2,1,-0.0108311739650397,-0.4063056311694319,-0.0476289986670503,-0.1294192602209479,-0.0784161795592822,0.1581920472243097,0.0316551004047092,-0.0200859184092492,33.10737310382093,0.0143988869466976
DS005620,alpha,1016,awake,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DS005620,alpha,1016,sed,1,-0.0018437930297669,-0.4260363023842801,-0.0151353256046786,0.0154711673699015,-0.0633189658460452,0.0277415593943158,-0.0483806392693979,-0.0131723413875554,15.44289061099132,-0.0873765584661715
DS005620,alpha,1016,sed2,1,0.0062949594180987,-0.4594745698300779,0.0058850518268966,0.0448447473763929,-0.1047693624368646,-0.236901359087359,-0.1268006133586459,-0.0227632826140175,14.767287727076596,-0.4194253946278849
DS005620,alpha,1017,awake,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DS005620,alpha,1017,sed,1,-0.034679473455635,0.1972727802405738,-0.1831388918045102,-0.0843881856540084,-0.1423755765711011,0.0616370756047623,0.1010793386371673,-0.003410355032217,6.700260737467104,-0.030424121666286
DS005620,alpha,1017,sed2,1,-0.0316337973479862,0.1743980690562074,-0.1700749118678048,-0.0605683580367123,-0.1378399970941533,0.0987900483349691,0.0671140463273692,-0.0088033507686384,29.02305665635059,-0.0470602481640718
DS005620,alpha,1022,awake,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DS005620,alpha,1022,sed,1,-0.052966048735285,-0.1215058187089432,-0.1568991173699032,-0.3202062822315987,-0.0297999740067464,0.0956645909980634,-0.0526308205102361,-0.0166714463316476,46.31534379101831,-0.0641268132748813
DS005620,alpha,1022,sed2,1,-0.0394922795892894,-0.5580138785742523,-0.1012028534163254,-0.2956110930794475,-0.0131514393843282,0.0469493249120561,-0.1081111843712512,-0.0191090145571904,63.540550330151376,-0.1216120223508301
DS005620,alpha,1024,awake,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
