subject,annotation,state,epoch_index,R,D_eff,M_tau,Pi,Access_all
SC4001,Sleep stage W,Wake,0,0.590676525598446,1.5940858171998735,0.09911959300840908,1.0,1
SC4001,Sleep stage W,Wake,1,0.6184250684310932,1.8176621531100194,0.0928692454749657,1.0,1
SC4001,Sleep stage W,Wake,2,0.5584627236692347,1.7552480697127046,0.09764936494348012,1.0,1
SC4001,Sleep stage W,Wake,3,0.5773650230679095,1.4945417420591858,0.10869744904245242,0.6666666666666666,0
SC4001,Sleep stage W,Wake,4,0.5739447026891952,1.585822251017479,0.10001037591503939,1.0,1
SC4001,Sleep stage W,Wake,5,0.6157837553675309,1.7302017552894993,0.09398057096206278,1.0,1
SC4001,Sleep stage W,Wake,6,0.6210847373344816,1.6166447761862113,0.0985323252681243,1.0,1
SC4001,Sleep stage W,Wake,7,0.569628075182803,1.762436767406935,0.10341347962460198,1.0,1
SC4001,Sleep stage W,Wake,8,0.5411783788441425,1.7440738514805214,0.0929117975066348,1.0,1
SC4001,Sleep stage W,Wake,9,0.5874764123323508,1.861163331647896,0.09703304602559994,1.0,1
SC4001,Sleep stage W,Wake,10,0.5171745334871845,1.8386132760617402,0.09650966770585546,1.0,1
SC4001,Sleep stage W,Wake,11,0.5787657172553989,1.7961577584556616,0.0942786890941652,1.0,1
SC4001,Sleep stage W,Wake,12,0.5483650856361328,1.8229243216895565,0.0962013596523241,1.0,1
SC4001,Sleep stage W,Wake,13,0.542567821741369,1.7579623774430344,0.10528563134052327,0.6666666666666666,0
SC4001,Sleep stage W,Wake,14,0.6097875130364643,1.6833468965176575,0.10219124028692103,1.0,1
SC4001,Sleep stage W,Wake,15,0.6009602232591172,1.8467049668481579,0.0939387564562071,1.0,1
SC4001,Sleep stage W,Wake,16,0.6070746775497596,1.7454568707257756,0.09482516633893757,1.0,1
SC4001,Sleep stage W,Wake,17,0.5227073300064387,1.8652678313489957,0.10587986432850073,0.6666666666666666,0
SC4001,Sleep stage W,Wake,18,0.5666287670699434,1.5571685512390947,0.0970817652746218,1.0,1
SC4001,Sleep stage W,Wake,19,0.6317789975313955,1.6285724105846637,0.08590078699769704,0.6666666666666666,0
SC4001,Sleep stage W,Wake,20,0.600533327544405,1.908751244541132,0.10211093251302945,1.0,1
SC4001,Sleep stage W,Wake,21,0.6557174601104027,1.7304975031838927,0.08444088275836906,0.6666666666666666,0
SC4001,Sleep stage W,Wake,22,0.6085491604292833,1.7911493306514372,0.10329266551648336,1.0,1
SC4001,Sleep stage W,Wake,23,0.6196379377996492,1.650365915010101,0.08966883125154906,1.0,1
SC4001,Sleep stage W,Wake,24,0.6575066348959646,1.755302876505134,0.09884118524838577,1.0,1
SC4001,Sleep stage W,Wake,25,0.6397467980352809,1.5983707013934594,0.09498356778207513,1.0,1
SC4001,Sleep stage W,Wake,26,0.6163962791890605,1.9461903024037968,0.09132015353289845,1.0,1
SC4001,Sleep stage W,Wake,27,0.6656011458797078,1.843982129890148,0.08081010462720697,0.6666666666666666,0
SC4001,Sleep stage W,Wake,28,0.663874311199565,1.789407543570817,0.08787680691468658,0.6666666666666666,0
SC4001,Sleep stage W,Wake,29,0.6270634829716549,1.8116003656520385,0.09153881004984832,1.0,1
SC4001,Sleep stage W,Wake,30,0.6098439660181074,1.9706637031513219,0.10210001134098093,1.0,1
SC4001,Sleep stage W,Wake,31,0.5624061577765151,1.9359713335183604,0.09886755503316719,1.0,1
SC4001,Sleep stage W,Wake,32,0.6449554199512589,1.9920623968197093,0.09438747372825884,0.6666666666666666,0
SC4001,Sleep stage W,Wake,33,0.5924999010617726,1.9751859340104454,0.09835166118679138,1.0,1
SC4001,Sleep stage W,Wake,34,0.6402890540702751,1.9918336151388865,0.0879280721098181,0.3333333333333333,0
