dataset,band,row_index,subject,condition,y,model,score
Chennu,alpha,0,2,baseline,0,spectral_bandpower,0.24227533059833414
Chennu,alpha,1,2,moderate,1,spectral_bandpower,0.9800935597876204
Chennu,alpha,2,3,baseline,0,spectral_bandpower,0.24101081967105217
Chennu,alpha,3,3,moderate,1,spectral_bandpower,0.7889515872344177
Chennu,alpha,4,5,baseline,0,spectral_bandpower,0.2436077723660719
Chennu,alpha,5,5,moderate,1,spectral_bandpower,0.9885122457484167
Chennu,alpha,6,6,baseline,0,spectral_bandpower,0.24008219878408907
Chennu,alpha,7,6,moderate,1,spectral_bandpower,0.686126206832886
Chennu,alpha,8,7,baseline,0,spectral_bandpower,0.24281052462721306
Chennu,alpha,9,7,moderate,1,spectral_bandpower,0.9896690367599278
Chennu,alpha,10,8,baseline,0,spectral_bandpower,0.23552033190178942
Chennu,alpha,11,8,moderate,1,spectral_bandpower,0.5544771393327351
Chennu,alpha,12,9,baseline,0,spectral_bandpower,0.2309400641544505
Chennu,alpha,13,9,moderate,1,spectral_bandpower,0.9999260672138219
Chennu,alpha,14,10,baseline,0,spectral_bandpower,0.22190115664223858
Chennu,alpha,15,10,moderate,1,spectral_bandpower,0.23120624384529476
Chennu,alpha,16,13,baseline,0,spectral_bandpower,0.23495096843881882
Chennu,alpha,17,13,moderate,1,spectral_bandpower,0.5484468200098458
Chennu,alpha,18,14,baseline,0,spectral_bandpower,0.22118211038111515
Chennu,alpha,19,14,moderate,1,spectral_bandpower,0.28035437542067954
Chennu,alpha,20,18,baseline,0,spectral_bandpower,0.24011028945040871
Chennu,alpha,21,18,moderate,1,spectral_bandpower,0.9967378959333445
Chennu,alpha,22,20,baseline,0,spectral_bandpower,0.2297900449285907
Chennu,alpha,23,20,moderate,1,spectral_bandpower,0.9998488347501895
Chennu,alpha,24,22,baseline,0,spectral_bandpower,0.23644166081973791
Chennu,alpha,25,22,moderate,1,spectral_bandpower,0.5740607395207714
Chennu,alpha,26,23,baseline,0,spectral_bandpower,0.24113961144302165
Chennu,alpha,27,23,moderate,1,spectral_bandpower,0.9873922082628493
Chennu,alpha,28,24,baseline,0,spectral_bandpower,0.2393084345919818
Chennu,alpha,29,24,moderate,1,spectral_bandpower,0.669113200924961
Chennu,alpha,30,25,baseline,0,spectral_bandpower,0.23793730786343406
Chennu,alpha,31,25,moderate,1,spectral_bandpower,0.9951128436048274
Chennu,alpha,32,26,baseline,0,spectral_bandpower,0.23403775412124092
Chennu,alpha,33,26,moderate,1,spectral_bandpower,0.5330020665142033
Chennu,alpha,34,27,baseline,0,spectral_bandpower,0.2046138794699449
Chennu,alpha,35,27,moderate,1,spectral_bandpower,0.013456606569143569
Chennu,alpha,36,28,baseline,0,spectral_bandpower,0.230691678833905
Chennu,alpha,37,28,moderate,1,spectral_bandpower,0.439604928066546
Chennu,alpha,38,29,baseline,0,spectral_bandpower,0.24435191537164572
Chennu,alpha,39,29,moderate,1,spectral_bandpower,0.8862864174385502
Chennu,alpha,0,2,baseline,0,spectral_all,0.21532808144246152
Chennu,alpha,1,2,moderate,1,spectral_all,0.9884535466665249
Chennu,alpha,2,3,baseline,0,spectral_all,0.2050994648138185
Chennu,alpha,3,3,moderate,1,spectral_all,0.42921154343379486
Chennu,alpha,4,5,baseline,0,spectral_all,0.21673264528410524
Chennu,alpha,5,5,moderate,1,spectral_all,0.9914071230553542
Chennu,alpha,6,6,baseline,0,spectral_all,0.21645827701811537
Chennu,alpha,7,6,moderate,1,spectral_all,0.8371457227195679
Chennu,alpha,8,7,baseline,0,spectral_all,0.21518322263704814
Chennu,alpha,9,7,moderate,1,spectral_all,0.9974179426681692
Chennu,alpha,10,8,baseline,0,spectral_all,0.20677751293629917
Chennu,alpha,11,8,moderate,1,spectral_all,0.5062985572638542
Chennu,alpha,12,9,baseline,0,spectral_all,0.20122260883196877
Chennu,alpha,13,9,moderate,1,spectral_all,0.9999978864957506
Chennu,alpha,14,10,baseline,0,spectral_all,0.20037585282301676
Chennu,alpha,15,10,moderate,1,spectral_all,0.29193261914553614
Chennu,alpha,16,13,baseline,0,spectral_all,0.21216191652236435
Chennu,alpha,17,13,moderate,1,spectral_all,0.6552550412372871
Chennu,alpha,18,14,baseline,0,spectral_all,0.19643694430306533
Chennu,alpha,19,14,moderate,1,spectral_all,0.2935116715164595
Chennu,alpha,20,18,baseline,0,spectral_all,0.2132247735034168
Chennu,alpha,21,18,moderate,1,spectral_all,0.9991247229428931
Chennu,alpha,22,20,baseline,0,spectral_all,0.2039599173237568
Chennu,alpha,23,20,moderate,1,spectral_all,0.9999880275546189
Chennu,alpha,24,22,baseline,0,spectral_all,0.212143623781686
Chennu,alpha,25,22,moderate,1,spectral_all,0.6452101509238684
Chennu,alpha,26,23,baseline,0,spectral_all,0.2119885969465041
Chennu,alpha,27,23,moderate,1,spectral_all,0.9985338520049435
Chennu,alpha,28,24,baseline,0,spectral_all,0.20234284946251338
Chennu,alpha,29,24,moderate,1,spectral_all,0.23118768713471846
Chennu,alpha,30,25,baseline,0,spectral_all,0.20565303778271915
Chennu,alpha,31,25,moderate,1,spectral_all,0.9984995206660263
Chennu,alpha,32,26,baseline,0,spectral_all,0.21142250651168032
Chennu,alpha,33,26,moderate,1,spectral_all,0.6419936972784283
Chennu,alpha,34,27,baseline,0,spectral_all,0.17811086238338253
Chennu,alpha,35,27,moderate,1,spectral_all,0.010777966892608154
Chennu,alpha,36,28,baseline,0,spectral_all,0.20960447076180538
Chennu,alpha,37,28,moderate,1,spectral_all,0.5747541641018238
Chennu,alpha,38,29,baseline,0,spectral_all,0.2178242495723783
Chennu,alpha,39,29,moderate,1,spectral_all,0.9360486954942906
Chennu,alpha,0,2,baseline,0,gcc_pi,0.39713154850890364
Chennu,alpha,1,2,moderate,1,gcc_pi,0.4443239944639926
Chennu,alpha,2,3,baseline,0,gcc_pi,0.40528004432267156
Chennu,alpha,3,3,moderate,1,gcc_pi,0.616706769625134
Chennu,alpha,4,5,baseline,0,gcc_pi,0.4114791402836782
Chennu,alpha,5,5,moderate,1,gcc_pi,0.8208365378999792
Chennu,alpha,6,6,baseline,0,gcc_pi,0.401681799610543
Chennu,alpha,7,6,moderate,1,gcc_pi,0.5333970790351661
Chennu,alpha,8,7,baseline,0,gcc_pi,0.4099462435092645
Chennu,alpha,9,7,moderate,1,gcc_pi,0.7536634024213559
Chennu,alpha,10,8,baseline,0,gcc_pi,0.39634607019037216
Chennu,alpha,11,8,moderate,1,gcc_pi,0.43011798372554083
Chennu,alpha,12,9,baseline,0,gcc_pi,0.4071007154630125
Chennu,alpha,13,9,moderate,1,gcc_pi,0.9953123436941818
Chennu,alpha,14,10,baseline,0,gcc_pi,0.3696508103407408
Chennu,alpha,15,10,moderate,1,gcc_pi,0.09488256001788274
